company,href,title,author,section,tags,published_time,description,lecture_time
PETR4,https://braziljournal.com/o-preco-do-gas-no-brasil-e-surreal-diz-o-ministro-a-chave-e-a-petrobras/,"O preço do gás no Brasil é “surreal”, diz o Ministro. A chave é a Petrobras",Geraldo Samor e Pedro Arbex,Economia,"['Gás', 'Regulação', 'Brasil', 'Petrobras', 'Logística & Infraestrutura']",2025-05-05T06:40:41-03:00,"A concorrência no mercado de gás natural está longe de ser uma realidade no Brasil, onde a Petrobras  ainda vende cerca de 80% de todo o gás comercializado –",5 minutos
PETR4,https://braziljournal.com/petrobras-deve-ser-as-big-as-possible-diz-a-ceo-da-estatal/,"Petrobras deve ser ‘as big as possible,’ diz a CEO da estatal",Giuliano Guandalini,Negócios,"['Brasil', 'Petróleo', 'Petrobras']",2024-12-03T12:45:38-03:00,"A Petrobras precisa ser “as big as possible” – tão grande quanto for possível – para assegurar seus objetivos de crescimento no longo prazo, a CEO Magda",1 minuto
PETR4,https://braziljournal.com/cemig-contrata-andrea-almeida-ex-cfo-do-santander-e-petrobras/,"Cemig contrata Andrea Almeida, ex-CFO da Petrobras",Pedro Arbex,Negócios,"['CFO Journal', 'Setor elétrico', 'CEMIG']",2024-11-13T19:56:09-03:00,"A Cemig acaba de contratar Andrea Almeida como sua nova CFO, trazendo uma executiva com ampla bagagem em gigantes como o Santander Brasil, Petrobras e Vale.",1 minuto
PETR4,https://braziljournal.com/petrobras-e-ecopetrol-fazem-descoberta-historica-de-gas-da-colombia/,Petrobras e Ecopetrol fazem descoberta histórica de gás da Colômbia,André Jankavski,Negócios,"['Petróleo', 'Petrobras', 'Ecopetrol', 'Gás']",2024-10-03T19:35:16-03:00,"A Petrobras confirmou que o campo de gás offshore Sirius (anteriormente chamado de Uchuva-2), na Colômbia, possui reservas de 6 trilhões de pés cúbicos — a",2 minutos
PETR4,https://braziljournal.com/play/alexandre-silveira-quer-regular-monopolio-da-petrobras-no-gas/,Alexandre Silveira quer regular monopólio da Petrobras no gás,,Podcasts,"['Power', 'Setor elétrico', 'Regulação', 'Petrobras', 'Gás']",,,
PETR4,https://braziljournal.com/meli-passa-petrobras-e-e-a-companhia-mais-valiosa-da-america-latina/,MELI passa Petrobras e é a companhia mais valiosa da América Latina,André Jankavski,Negócios,"['Tecnologia & Internet', 'Mercado Livre']",2024-08-02T14:29:32-03:00,"O Mercado Livre (MELI) se tornou hoje a companhia mais valiosa da América Latina, deixando a Petrobras em segundo lugar. ",3 minutos
PETR4,https://braziljournal.com/tudo-dominado-na-petrobras-uma-nova-ceo-traz-de-volta-velhos-habitos/,"Tudo dominado. Na Petrobras, uma nova CEO traz de volta velhos hábitos",Geraldo Samor e Pedro Arbex,Negócios,"['Petróleo', 'Petrobras', 'Governança corporativa']",2024-07-03T15:32:00-03:00,"Desde que o PT voltou ao poder em janeiro do ano passado e voltou a interferir nas empresas estatais e paraestatais, muitos investidores tem apostado que este",3 minutos
PETR4,https://braziljournal.com/quintas-colunas-e-a-barbie-fascista-fup-intimida-funcionarios-da-petrobras/,“Quintas-colunas” e a “Barbie fascista”: FUP intimida funcionários da Petrobras,Geraldo Samor,Economia,"['Governança corporativa', 'Petrobras']",2024-01-11T06:50:35-03:00,A Federação Única dos Petroleiros (FUP) está tentando expor e intimidar publicamente executivos da Petrobras envolvidos na venda de ativos da empresa na,5 minutos
PETR4,https://braziljournal.com/por-que-mexer-no-que-esta-funcionando-diz-conselheiro-da-petrobras-ele-teme-outra-class-action/,“Por que mexer no que está funcionando?” diz conselheiro da Petrobras; ele teme “outra class action”,Geraldo Samor e Pedro Arbex,Negócios,"['Governança corporativa', 'Petrobras', 'Petróleo']",2023-10-27T00:19:47-03:00,"Como conselheiro da Petrobras há sete anos, Marcelo Mesquita nunca teve papas na língua quando se trata de defender a companhia e o interesse dos acionistas",14 minutos
PETR4,https://braziljournal.com/petrobras-quer-mudar-estatuto-permitindo-indicacoes-politicas-e-flexibilizando-dividendos/,Petrobras quer mudar estatuto — permitindo indicações políticas e flexibilizando dividendos,Pedro Arbex,ESG JOURNAL,"['Governança corporativa', 'ESG Journal', 'Petrobras', 'Petróleo']",2023-10-23T12:34:05-03:00,O conselho da Petrobras aprovou hoje a submissão à assembleia de uma revisão de seu estatuto social — um movimento visto pelo mercado como um retrocesso na,1 minuto
